canal,mes,dia_semana,semana,venta
WS - FIT,4,5,16,7768.5
WS - Other,4,5,16,24402.980000000003
Charter,4,6,16,160281.16000000003
WS - FIT,4,6,16,14987.230000000001
WS - Other,4,6,16,1397.75
Agencias,4,0,17,13551.41
WS - FIT,4,0,17,21814.92
WS - FIT,4,1,17,24100.850000000002
WS - Other,4,1,17,17894.36
WS - FIT,4,2,17,38057.28
WS - Other,4,2,17,17058.379999999997
WS - FIT,4,3,17,18518.61
WS - Other,4,3,17,3633.5
Agencias,4,4,17,5177.759999999999
Charter,4,4,17,167161.43
WS - FIT,4,4,17,46943.32
WS - Other,4,4,17,59360.33
Agencias,4,5,17,41548.17
WS - FIT,4,5,17,55416.08
WS - Other,4,5,17,7961.92
WS - Other,4,6,17,29043.7
Agencias,5,0,18,10009.55
WS - FIT,5,0,18,33872.01
WS - FIT,5,1,18,26807.96
WS - FIT,5,2,18,21659.3
WS - Other,5,2,18,23955.69
WS - FIT,5,3,18,5215.5
WS - FIT,5,4,18,36047.45
Agencias,5,5,18,21536.800000000007
Charter,5,5,18,267504.0
WS - FIT,5,5,18,33982.350000000006
WS - Other,5,5,18,19651.1
WS - FIT,5,6,18,7148.599999999999
WS - FIT,5,0,19,34831.119999999995
WS - Other,5,0,19,26437.26
WS - FIT,5,1,19,53803.90000000001
Agencias,5,2,19,20684.120000000003
WS - FIT,5,2,19,31515.28
WS - FIT,5,3,19,12439.16
WS - Other,5,3,19,4469.1900000000005
WS - FIT,5,4,19,38241.36
WS - Other,5,4,19,62693.40000000001
Agencias,5,5,19,4821.43
Charter,5,5,19,170775.71
WS - FIT,5,5,19,57567.64
Agencias,5,6,19,891.78
WS - FIT,5,6,19,22395.950000000004
WS - Other,5,6,19,11067.78
Agencias,5,0,20,5423.500000000001
WS - FIT,5,0,20,182.9
WS - Other,5,0,20,31325.28
Charter,5,1,20,159421.97000000003
WS - FIT,5,1,20,45492.42999999999
WS - FIT,5,2,20,11877.74
WS - FIT,5,3,20,12665.67
WS - Other,5,3,20,7378.75
Agencias,5,4,20,827.0
WS - FIT,5,4,20,7631.049999999999
Charter,5,5,20,266535.28
WS - FIT,5,5,20,7528.509999999998
WS - Other,5,5,20,17969.79
Charter,5,6,20,173955.82
WS - FIT,5,6,20,31780.670000000006
WS - Other,5,6,20,15773.48
WS - FIT,5,0,21,27740.33
WS - Other,5,0,21,16064.77
WS - FIT,5,1,21,16842.72
Agencias,5,2,21,444.0
WS - FIT,5,2,21,15240.18
WS - Other,5,2,21,11882.9
Agencias,5,3,21,7539.6
WS - FIT,5,3,21,7624.75
WS - FIT,5,4,21,45227.57
WS - Other,5,4,21,77832.18
Charter,5,5,21,170176.33
WS - FIT,5,5,21,2534.7
WS - Other,5,5,21,15963.560000000001
Agencias,5,6,21,3191.1
WS - FIT,5,6,21,2354.5
WS - Other,5,6,21,21272.690000000002
WS - FIT,5,0,22,57424.770000000004
WS - Other,5,0,22,12465.640000000001
Agencias,5,1,22,28064.88
WS - FIT,5,1,22,14425.119999999999
Agencias,5,2,22,330.88
WS - FIT,5,2,22,3920.6
WS - Other,5,2,22,34773.36
WS - FIT,6,3,22,80109.38
WS - Other,6,3,22,148520.14
Agencias,6,4,22,69853.22
WS - FIT,6,4,22,5712.89
WS - Other,6,4,22,1136.12
Agencias,6,5,22,445.0
WS - FIT,6,5,22,35182.770000000004
WS - Other,6,5,22,49750.509999999995
WS - FIT,6,6,22,2552.08
WS - FIT,6,0,23,48813.780000000006
WS - Other,6,0,23,820.75
WS - FIT,6,1,23,49867.78999999999
WS - Other,6,1,23,20505.299999999996
WS - FIT,6,2,23,6184.34
WS - Other,6,2,23,11687.34
WS - FIT,6,3,23,52751.1
Agencias,6,4,23,38811.14
WS - FIT,6,4,23,13938.060000000001
WS - Other,6,4,23,69971.26999999999
Agencias,6,5,23,6452.82
WS - FIT,6,5,23,46650.36000000001
WS - Other,6,5,23,9200.76
WS - FIT,6,6,23,3410.0
WS - Other,6,6,23,26011.36
Agencias,6,0,24,8617.359999999999
WS - FIT,6,0,24,43008.17
Agencias,6,1,24,56682.22
WS - FIT,6,1,24,14029.190000000002
WS - Other,6,1,24,26521.439999999995
WS - FIT,6,2,24,12475.640000000001
Charter,6,3,24,257324.84000000003
WS - FIT,6,3,24,1390.0
WS - Other,6,3,24,10837.960000000001
WS - FIT,6,4,24,296.0
Agencias,6,5,24,4108.4
Charter,6,5,24,157675.69
WS - FIT,6,5,24,57612.13999999999
Agencias,6,6,24,2591.0
WS - FIT,6,6,24,18627.240000000005
WS - FIT,6,0,25,3458.5799999999995
WS - Other,6,0,25,17776.68
WS - Other,6,1,25,68815.89000000003
WS - Other,6,2,25,8158.6100000000015
Agencias,6,3,25,14821.82
WS - FIT,6,3,25,13903.66
Agencias,6,4,25,151.2
WS - FIT,6,4,25,17063.82
WS - Other,6,4,25,17631.899999999998
WS - FIT,6,5,25,13446.84
WS - FIT,6,6,25,160.5
WS - Other,6,6,25,48682.67999999999
Agencias,6,0,26,26132.64
WS - FIT,6,1,26,18644.630000000005
WS - FIT,6,2,26,16161.09
WS - Other,6,2,26,6170.25
Agencias,6,3,26,35308.479999999996
WS - FIT,6,3,26,295.0
WS - Other,6,3,26,13654.460000000001
Agencias,6,4,26,634.0
Charter,6,4,26,260194.56
WS - FIT,6,4,26,4542.740000000001
WS - FIT,7,5,26,82.0
WS - Other,7,5,26,14035.84
WS - FIT,7,6,26,2361.0999999999995
WS - FIT,7,0,27,51731.54
WS - Other,7,0,27,50525.54
Agencias,7,1,27,728.1
WS - FIT,7,1,27,17490.08
WS - Other,7,1,27,18656.44
WS - FIT,7,2,27,392.0
WS - Other,7,2,27,30304.05
Agencias,7,3,27,484.0
WS - FIT,7,3,27,205.0
WS - FIT,7,4,27,71050.48
WS - Other,7,4,27,60377.51
Agencias,7,5,27,774.4
Charter,7,5,27,172485.09999999998
WS - FIT,7,5,27,10060.45
WS - Other,7,5,27,15396.92
Agencias,7,6,27,584.0
WS - FIT,7,6,27,2860.3500000000004
WS - Other,7,6,27,17725.56
Agencias,7,0,28,13871.379999999996
WS - FIT,7,0,28,15510.269999999999
WS - FIT,7,1,28,16710.550000000003
WS - FIT,7,2,28,28704.660000000003
Agencias,7,5,28,13026.82
Charter,7,5,28,410289.89
WS - FIT,7,5,28,36295.43
WS - Other,7,5,28,9305.02
WS - FIT,7,6,28,7101.6
Agencias,7,0,29,4548.84
WS - FIT,7,0,29,17103.399999999998
WS - Other,7,0,29,90837.09
WS - FIT,7,1,29,1961.0
WS - Other,7,1,29,26517.0
WS - FIT,7,2,29,4522.75
WS - Other,7,2,29,9679.98
Agencias,7,4,29,55986.84
WS - FIT,7,4,29,52105.51000000001
WS - Other,7,4,29,73957.97999999998
Agencias,7,5,29,9088.390000000001
Charter,7,5,29,169712.19999999998
WS - Other,7,5,29,9161.45
Agencias,7,6,29,564.0
WS - FIT,7,6,29,28338.500000000007
WS - Other,7,6,29,22441.0
WS - Other,7,0,30,13926.52
Agencias,7,1,30,4258.8
WS - FIT,7,1,30,4727.65
Charter,7,2,30,150214.13999999998
WS - FIT,7,2,30,38825.02
WS - Other,7,2,30,52367.94
WS - FIT,7,3,30,48374.53999999999
WS - Other,7,3,30,52886.5
WS - FIT,7,4,30,35935.61
WS - FIT,7,5,30,13945.080000000004
WS - Other,7,5,30,7208.42
WS - FIT,7,6,30,32493.290000000008
WS - Other,7,6,30,20382.079999999998
Agencias,7,0,31,41195.6
WS - FIT,7,0,31,36076.36
WS - Other,7,0,31,148866.2
WS - FIT,8,1,31,18953.52
Agencias,8,2,31,230.4
WS - FIT,8,2,31,23629.4
WS - Other,8,2,31,13802.949999999999
Agencias,8,3,31,43184.930000000015
WS - FIT,8,3,31,9171.59
WS - Other,8,3,31,182471.40000000002
Agencias,8,4,31,47421.08
WS - FIT,8,4,31,25741.469999999998
WS - Other,8,4,31,8598.34
WS - Other,8,5,31,17031.0
WS - FIT,8,6,31,9249.5
WS - Other,8,6,31,6364.75
Agencias,8,0,32,580.8
WS - FIT,8,0,32,13235.699999999999
WS - Other,8,0,32,35397.18
Agencias,8,1,32,56634.0
WS - FIT,8,1,32,134690.60999999996
WS - FIT,8,2,32,16972.22
Agencias,8,3,32,640.0
WS - FIT,8,3,32,6324.75
WS - Other,8,3,32,8266.86
Agencias,8,4,32,1171.8
Charter,8,4,32,267508.27999999997
WS - FIT,8,4,32,27850.560000000005
Agencias,8,5,32,321.2
Agencias,8,6,32,1096.0
WS - FIT,8,6,32,48441.99
WS - FIT,8,0,33,43031.159999999996
WS - Other,8,0,33,78997.31
WS - FIT,8,1,33,36533.69
WS - FIT,8,2,33,6540.5
WS - Other,8,3,33,182471.40000000002
Agencias,8,4,33,1002.0
WS - FIT,8,4,33,73492.43000000001
WS - Other,8,4,33,72434.55
WS - FIT,8,5,33,76735.47
WS - Other,8,5,33,13220.31
WS - FIT,8,6,33,31913.030000000002
WS - FIT,8,0,34,39062.130000000005
WS - Other,8,0,34,44896.81999999999
WS - FIT,8,1,34,59599.18000000001
Agencias,8,2,34,2602.48
WS - FIT,8,2,34,44063.95000000001
Agencias,8,3,34,6781.9
WS - FIT,8,3,34,14552.18
Agencias,8,4,34,671.29
WS - FIT,8,4,34,18555.62
WS - Other,8,4,34,12261.939999999999
Agencias,8,5,34,24750.87
WS - FIT,8,5,34,20808.19
WS - Other,8,5,34,13229.0
WS - FIT,8,6,34,24654.9
WS - Other,8,6,34,22415.46
Agencias,8,0,35,3582.6
WS - FIT,8,0,35,48114.1
WS - Other,8,0,35,1124.02
WS - FIT,8,1,35,328.0
Agencias,8,2,35,55485.98
WS - FIT,8,2,35,12474.29
WS - Other,8,2,35,12015.34
WS - FIT,8,3,35,8093.0
Charter,9,4,35,168327.19
WS - Other,9,4,35,8198.34
WS - FIT,9,5,35,30104.209999999995
WS - Other,9,6,35,26704.74
WS - FIT,9,0,36,314.0
WS - FIT,9,1,36,2665.25
WS - FIT,9,3,36,2914.0
WS - FIT,9,4,36,117706.42000000001
WS - FIT,9,5,36,1253.5
WS - FIT,9,6,36,649.0
WS - Other,9,6,36,13141.84
WS - FIT,9,0,37,9569.34
WS - FIT,9,2,37,863.22
WS - FIT,9,3,37,8190.59
WS - FIT,9,4,37,15341.02
WS - Other,9,4,37,53502.28
Agencias,9,5,37,12934.41
WS - FIT,9,5,37,575.49
WS - FIT,9,6,37,506.25
WS - Other,9,6,37,42163.200000000004
Agencias,9,0,38,2700.42
WS - FIT,9,0,38,23997.84
WS - FIT,9,1,38,209.92
Agencias,9,2,38,525.28
WS - FIT,9,2,38,4556.25
WS - FIT,9,3,38,15468.67
WS - Other,9,3,38,11146.74
Agencias,9,4,38,3725.2799999999997
WS - FIT,9,4,38,8419.34
WS - Other,9,6,38,27434.6
Agencias,9,0,39,25370.840000000004
WS - FIT,9,0,39,94669.68
WS - Other,9,0,39,1500.75
WS - FIT,9,1,39,20526.520000000004
WS - FIT,9,3,39,48153.619999999995
WS - Other,9,3,39,531.3
Agencias,9,4,39,21418.0
WS - FIT,9,4,39,25252.81
WS - Other,9,4,39,16795.66
Agencias,9,5,39,4245.71
WS - FIT,9,5,39,21939.96
Charter,10,6,39,169635.44999999998
WS - FIT,10,6,39,2519.76
WS - Other,10,6,39,13147.6
Agencias,10,0,40,16116.92
WS - FIT,10,0,40,394.25
Agencias,10,1,40,10921.640000000001
WS - FIT,10,1,40,9022.7
WS - FIT,10,2,40,174.58
WS - Other,10,2,40,1016.9999999999999
Agencias,10,3,40,708.9
WS - FIT,10,3,40,66709.16
WS - Other,10,3,40,17673.460000000003
WS - FIT,10,4,40,129145.34
WS - Other,10,4,40,21250.320000000003
WS - FIT,10,5,40,30134.86
WS - Other,10,6,40,17796.16
WS - FIT,10,0,41,3452.5
WS - Other,10,0,41,1084.0
WS - FIT,10,1,41,1358.9199999999998
WS - FIT,10,2,41,1543.0
WS - Other,10,2,41,5521.58
WS - FIT,10,3,41,2554.0
WS - FIT,10,4,41,15691.04
WS - Other,10,4,41,55532.939999999995
Agencias,10,5,41,978.0
Charter,10,5,41,174867.37
WS - FIT,10,5,41,18885.38
Agencias,10,6,41,9996.800000000001
WS - FIT,10,6,41,10386.53
WS - Other,10,6,41,12089.04
WS - FIT,10,0,42,13801.45
Charter,10,1,42,135818.37
WS - FIT,10,1,42,4046.14
WS - Other,10,1,42,14416.720000000001
WS - FIT,10,2,42,261.0
WS - Other,10,2,42,19955.52
Agencias,10,3,42,10780.5
WS - FIT,10,3,42,9153.6
WS - Other,10,3,42,108257.49999999999
Agencias,10,4,42,10193.25
WS - FIT,10,4,42,20611.38
WS - Other,10,4,42,820.9
Agencias,10,5,42,4493.52
WS - FIT,10,5,42,53235.43999999999
WS - Other,10,5,42,132083.63999999998
WS - FIT,10,6,42,4602.66
WS - Other,10,6,42,3540.6400000000003
Agencias,10,0,43,643.4000000000001
WS - FIT,10,0,43,3619.0
WS - Other,10,0,43,19363.5
WS - FIT,10,1,43,7061.650000000001
WS - Other,10,1,43,15986.499999999998
Agencias,10,2,43,7942.92
WS - FIT,10,2,43,10938.099999999999
WS - FIT,10,3,43,18851.88
WS - Other,10,3,43,592.4000000000001
WS - FIT,10,4,43,15819.68
WS - Other,10,4,43,97864.34999999999
Agencias,10,5,43,106.0
WS - FIT,10,5,43,15946.58
WS - FIT,10,6,43,1950.5
WS - FIT,10,0,44,5885.0
WS - Other,10,0,44,44529.7
Charter,10,1,44,155058.81
WS - FIT,10,1,44,10060.800000000001
WS - FIT,11,2,44,4619.0999999999985
Agencias,11,3,44,1778.7699999999998
WS - FIT,11,3,44,10184.460000000001
WS - Other,11,3,44,116814.74
Agencias,11,4,44,4750.0
WS - FIT,11,4,44,25439.149999999998
WS - Other,11,4,44,21141.29
WS - FIT,11,5,44,25344.220000000005
WS - Other,11,5,44,6149.96
WS - FIT,11,6,44,115.2
WS - Other,11,6,44,7184.82
Agencias,11,0,45,64212.74
WS - FIT,11,0,45,157.0
WS - Other,11,0,45,14369.59
WS - FIT,11,1,45,3438.2
WS - FIT,11,3,45,1385.1
WS - FIT,11,4,45,527.28
WS - Other,11,4,45,92933.62
Agencias,11,5,45,1299.2000000000003
Charter,11,5,45,162258.13999999998
